time,V(clk_amp),V(clk_double),V(clk_load),V(clk_sample),V(comp_out)
5.50208E-07,0,3,0,0,1.8
5.50415E-07,0,3,0,0,1.8
5.5083E-07,0,3,0,0,1.8
5.51279E-07,0,3,0,0,1.8
5.52176E-07,0,3,0,0,1.8
5.5397E-07,0,3,0,0,1.8
5.55648E-07,0,3,0,0,1.8
5.56916E-07,0,3,0,0,1.8
5.57464E-07,0,3,0,0,1.8
5.58562E-07,0,3,0,0,1.8
5.6E-07,0,3,0,0,1.8
5.60004E-07,0,0,0,0,1.8
5.60012E-07,0,0,0,0,1.8
5.60014E-07,0,0,0,0,1.8
5.60017E-07,0,0,0,0,1.8
5.60022E-07,0,0,0,0,1.8
5.60027E-07,0,0,0,0,1.8
5.60039E-07,0,0,0,0,1.8
5.60061E-07,0,0,0,0,1.8
5.60087E-07,0,0,0,0,1.8
5.60139E-07,0,0,0,0,1.8
5.60241E-07,0,0,0,0,1.8
5.60446E-07,0,0,0,0,1.8
5.60755E-07,0,0,0,0,1.8
5.6134E-07,0,0,0,0,1.8
5.62508E-07,0,0,0,0,1.8
5.6378E-07,0,0,0,0,1.8
5.65576E-07,0,0,0,0,1.8
5.67593E-07,0,0,0,0,1.8
5.70789E-07,0,0,0,0,1.8
5.74758E-07,0,0,0,0,1.8
5.84523E-07,0,0,0,0,1.8
6.00322E-07,0,0,0,0,1.8
6.16122E-07,0,0,0,0,1.8
6.31921E-07,0,0,0,0,1.8
6.4772E-07,0,0,0,0,1.8
6.63519E-07,0,0,0,0,1.8
6.79318E-07,0,0,0,0,1.8
6.95117E-07,0,0,0,0,1.8
0.0000007,0,0,0,0,1.797965
7.0001E-07,3,0,0,0,1.798745
7.00029E-07,3,0,0,0,1.801718
7.00033E-07,3,0,0,0,1.800467
7.00039E-07,3,0,0,0,1.799055
7.00044E-07,3,0,0,0,1.799716
7.0005E-07,3,0,0,0,1.799879
7.00057E-07,3,0,0,0,1.799859
7.00067E-07,3,0,0,0,1.799972
7.0008E-07,3,0,0,0,1.799949
7.001E-07,3,0,0,0,1.799771
7.00104E-07,3,0,0,0,1.799899
7.00105E-07,3,0,0,0,1.799954
7.00107E-07,3,0,0,0,1.799982
7.0011E-07,3,0,0,0,1.799988
7.00111E-07,3,0,0,0,1.799988
7.00113E-07,3,0,0,0,1.799989
7.00117E-07,3,0,0,0,1.799991
7.00124E-07,3,0,0,0,1.799992
7.0014E-07,3,0,0,0,1.799995
7.0017E-07,3,0,0,0,1.799999
7.0023E-07,3,0,0,0,1.800004
7.00332E-07,3,0,0,0,1.800008
7.00444E-07,3,0,0,0,1.800009
7.00572E-07,3,0,0,0,1.800009
7.00733E-07,3,0,0,0,1.800009
7.00981E-07,3,0,0,0,1.800008
7.01382E-07,3,0,0,0,1.800006
7.02183E-07,3,0,0,0,1.800004
7.03786E-07,3,0,0,0,1.800002
7.0563E-07,3,0,0,0,1.800001
7.079E-07,3,0,0,0,1.800001
7.08113E-07,3,0,0,0,1.800001
7.08538E-07,3,0,0,0,1.800001
7.09389E-07,3,0,0,0,1.800003
7.09523E-07,3,0,0,0,1.800005
7.09793E-07,3,0,0,0,1.800013
7.09847E-07,3,0,0,0,1.80002
7.09954E-07,3,0,0,0,1.800057
7.10074E-07,3,0,0,0,1.79988
7.10167E-07,3,0,0,0,1.792794
7.1027E-07,3,0,0,0,1.753489
7.10331E-07,3,0,0,0,1.694235
7.10407E-07,3,0,0,0,1.586647
7.10462E-07,3,0,0,0,1.480519
7.10486E-07,3,0,0,0,1.373322
7.10508E-07,3,0,0,0,1.169034
7.10524E-07,3,0,0,0,0.8884482
7.10542E-07,3,0,0,0,0.4253003
7.10552E-07,3,0,0,0,0.1757231
7.10559E-07,3,0,0,0,0.06370844
7.10569E-07,3,0,0,0,0.01054349
7.10575E-07,3,0,0,0,0.00251548
7.10585E-07,3,0,0,0,0.00162901
7.10597E-07,3,0,0,0,0.001028983
7.10622E-07,3,0,0,0,0.000574514
7.10652E-07,3,0,0,0,0.000379006
7.10689E-07,3,0,0,0,0.000284964
7.10735E-07,3,0,0,0,0.000223213
7.10828E-07,3,0,0,0,0.000158367
7.10917E-07,3,0,0,0,0.000108008
7.10981E-07,3,0,0,0,5.66113E-05
7.11058E-07,3,0,0,0,2.27126E-06
7.11136E-07,3,0,0,0,-1.27187E-05
7.11211E-07,3,0,0,0,-1.07937E-05
7.11292E-07,3,0,0,0,-9.95557E-06
7.11454E-07,3,0,0,0,-8.02384E-06
7.11778E-07,3,0,0,0,-5.22088E-06
7.12245E-07,3,0,0,0,-2.68561E-06
7.12672E-07,3,0,0,0,-1.48146E-06
7.1315E-07,3,0,0,0,-4.61859E-06
7.13191E-07,3,0,0,0,-3.49958E-06
7.13272E-07,3,0,0,0,-5.85086E-07
7.13298E-07,3,0,0,0,-5.9103E-07
7.13334E-07,3,0,0,0,-5.64452E-07
7.13365E-07,3,0,0,0,-5.41981E-07
7.13405E-07,3,0,0,0,-5.13785E-07
7.13487E-07,3,0,0,0,-4.62493E-07
7.13651E-07,3,0,0,0,-3.76975E-07
7.13979E-07,3,0,0,0,-2.49425E-07
7.14399E-07,3,0,0,0,-1.43911E-07
7.15007E-07,3,0,0,0,-6.4442E-08
7.16027E-07,3,0,0,0,-1.23851E-08
7.18066E-07,3,0,0,0,1.27801E-08
7.20932E-07,3,0,0,0,1.39271E-08
7.25815E-07,3,0,0,0,5.37825E-09
7.30698E-07,3,0,0,0,7.66969E-10
7.3558E-07,3,0,0,0,3.485E-10
7.40463E-07,3,0,0,0,6.27688E-10
7.45346E-07,3,0,0,0,7.03799E-10
7.50229E-07,3,0,0,0,8.16929E-10
7.55112E-07,3,0,0,0,8.66649E-10
7.59994E-07,3,0,0,0,9.14046E-10
7.64877E-07,3,0,0,0,9.40747E-10
7.6976E-07,3,0,0,0,9.6166E-10
7.74643E-07,3,0,0,0,9.75008E-10
7.79526E-07,3,0,0,0,9.84534E-10
7.89291E-07,3,0,0,0,9.95406E-10
7.97003E-07,3,0,0,0,9.99851E-10
8E-07,3,0,0,0,-3.2781E-05
8.00009E-07,0,0,0,0,-1.01888E-05
8.00027E-07,0,0,0,0,3.59854E-05
8.00031E-07,0,0,0,0,7.52801E-06
8.00036E-07,0,0,0,0,-1.95936E-05
8.00047E-07,0,0,0,0,-1.44312E-06
8.00067E-07,0,0,0,0,-9.18609E-07
8.00108E-07,0,0,0,0,-2.18098E-08
8.00153E-07,0,0,0,0,-7.64947E-08
8.00209E-07,0,0,0,0,3.18256E-08
8.00271E-07,0,0,0,0,-6.35707E-08
8.00361E-07,0,0,0,0,3.45091E-08
8.00482E-07,0,0,0,0,-4.26026E-08
8.00724E-07,0,0,0,0,7.82906E-09
8.01011E-07,0,0,0,0,-2.83633E-09
8.01332E-07,0,0,0,0,1.03976E-08
8.01793E-07,0,0,0,0,-4.18193E-09
8.02405E-07,0,0,0,0,3.79386E-09
8.03147E-07,0,0,0,0,-3.03387E-09
8.04234E-07,0,0,0,0,3.60149E-09
8.05785E-07,0,0,0,0,-6.491E-10
8.07924E-07,0,0,0,0,1.91897E-09
8.10627E-07,0,0,0,0,8.30521E-10
8.13476E-07,0,0,0,0,1.84307E-09
8.17303E-07,0,0,0,0,5.5842E-10
8.22009E-07,0,0,0,0,1.08274E-09
8.26892E-07,0,0,0,0,1.00948E-09
8.36657E-07,0,0,0,0,1.00943E-09
8.45117E-07,0,0,0,0,3.23014E-10
0.00000085,0,0,0,0,-1.90439E-06
8.5001E-07,0,3,0,0,-1.28914E-06
8.50029E-07,0,3,0,0,8.19402E-08
8.50033E-07,0,3,0,0,4.98081E-08
8.50039E-07,0,3,0,0,-1.46757E-08
8.50049E-07,0,3,0,0,3.38189E-09
8.50061E-07,0,3,0,0,-5.88454E-10
8.50084E-07,0,3,0,0,1.49624E-09
8.5012E-07,0,3,0,0,7.82956E-10
8.50173E-07,0,3,0,0,1.1326E-09
8.5025E-07,0,3,0,0,9.27219E-10
8.50364E-07,0,3,0,0,1.06041E-09
8.50538E-07,0,3,0,0,9.76903E-10
8.50786E-07,0,3,0,0,1.02322E-09
8.51128E-07,0,3,0,0,9.91207E-10
8.51612E-07,0,3,0,0,1.00777E-09
8.52141E-07,0,3,0,0,1.00205E-09
8.52727E-07,0,3,0,0,1.00415E-09
8.53289E-07,0,3,0,0,1.00563E-09
8.53839E-07,0,3,0,0,1.0077E-09
8.54443E-07,0,3,0,0,1.0024E-09
8.5512E-07,0,3,0,0,1.00611E-09
8.55828E-07,0,3,0,0,1.00316E-09
8.56607E-07,0,3,0,0,1.00778E-09
8.57513E-07,0,3,0,0,1.00323E-09
8.58541E-07,0,3,0,0,1.00454E-09
8.59524E-07,0,3,0,0,1.00221E-09
8.60754E-07,0,3,0,0,1.00636E-09
8.62129E-07,0,3,0,0,1.00215E-09
8.64069E-07,0,3,0,0,1.00441E-09
8.65828E-07,0,3,0,0,1.00173E-09
8.68903E-07,0,3,0,0,1.0048E-09
8.71758E-07,0,3,0,0,1.00316E-09
8.76558E-07,0,3,0,0,1.00519E-09
8.81441E-07,0,3,0,0,1.00514E-09
8.86324E-07,0,3,0,0,1.00514E-09
8.91207E-07,0,3,0,0,1.00514E-09
8.9609E-07,0,3,0,0,1.00514E-09
